cropname,locationname,locationtype,cropyear,seasonname,Area (Lakh Ha),variation_percentage,variation_value,Source
Groundnut,All India,country,2012-13,Kharif,39.31,-8.918982568663877,-3.849493870967734,DA&FW
Groundnut,All India,country,2013-14,Kharif,46.45,18.169050593482403,7.142469999999996,DA&FW
Groundnut,All India,country,2014-15,Kharif,40.13,-13.60314773905866,-6.319159999999997,DA&FW
Groundnut,All India,country,2015-16,Kharif,38.38,-4.377281391321694,-1.7568000000000055,DA&FW
Groundnut,All India,country,2016-17,Kharif,45.78,19.300075304147988,7.406925000000001,DA&FW
Groundnut,All India,country,2017-18,Kharif,41.42,-9.53220649945259,-4.364284999999995,DA&FW
Groundnut,All India,country,2018-19,Kharif,41.32,-0.2436580675098252,-0.10092399999999913,DA&FW
Groundnut,All India,country,2019-20,Kharif,41.6,0.6908713327409988,0.2854639999999975,DA&FW
Groundnut,All India,country,2020-21,Kharif,51.71,24.300094123573963,10.110025,DA&FW
Groundnut,All India,country,2021-22,Kharif,49.13,-5.002116894539403,-2.5868400000000022,DA&FW
Groundnut,All India,country,2022-23,Kharif,42.63,-13.234736601166766,-6.50197,DA&FW
Groundnut,All India,country,2023-24,Kharif,40.44,-5.140079099434279,-2.191015,DA&FW
Groundnut,All India,country,2024-25,Kharif,50.05,23.777947267570635,9.614632,DA&FW
Groundnut,All India,country,2025-26,Kharif,50.29,0.47522211516421625,0.23784729999999854,DA&FW
